,hc_1,hc_2,hc_3,hc_4
0,0.0,7.0,0.0,2.0
1,2.0,5.0,0.0,2.0
2,73.0,156.0,0.0,2.0
3,10.0,11.0,0.0,2.0
4,28.0,222.0,0.0,3.0
5,37.0,223.0,0.0,4.0
6,38.0,224.0,0.0,5.0
7,39.0,225.0,0.0,6.0
8,44.0,226.0,0.0,7.0
9,46.0,227.0,0.0,8.0
10,49.0,228.0,0.0,9.0
11,51.0,229.0,0.0,10.0
12,52.0,230.0,0.0,11.0
13,54.0,231.0,0.0,12.0
14,58.0,232.0,0.0,13.0
15,66.0,233.0,0.0,14.0
16,67.0,234.0,0.0,15.0
17,68.0,235.0,0.0,16.0
18,78.0,236.0,0.0,17.0
19,81.0,237.0,0.0,18.0
20,83.0,238.0,0.0,19.0
21,84.0,239.0,0.0,20.0
22,87.0,240.0,0.0,21.0
23,98.0,241.0,0.0,22.0
24,100.0,242.0,0.0,23.0
25,103.0,243.0,0.0,24.0
26,104.0,244.0,0.0,25.0
27,109.0,245.0,0.0,26.0
28,116.0,246.0,0.0,27.0
29,135.0,247.0,0.0,28.0
30,137.0,248.0,0.0,29.0
31,138.0,249.0,0.0,30.0
32,140.0,250.0,0.0,31.0
33,141.0,251.0,0.0,32.0
34,143.0,252.0,0.0,33.0
35,144.0,253.0,0.0,34.0
36,149.0,254.0,0.0,35.0
37,152.0,255.0,0.0,36.0
38,155.0,256.0,0.0,37.0
39,160.0,257.0,0.0,38.0
40,170.0,258.0,0.0,39.0
41,181.0,259.0,0.0,40.0
42,190.0,260.0,0.0,41.0
43,191.0,261.0,0.0,42.0
44,192.0,262.0,0.0,43.0
45,204.0,263.0,0.0,44.0
46,208.0,264.0,0.0,45.0
47,211.0,265.0,0.0,46.0
48,102.0,198.0,0.0,2.0
49,182.0,183.0,0.0,2.0
50,184.0,268.0,0.0,3.0
51,186.0,269.0,0.0,4.0
52,194.0,270.0,0.0,5.0
53,195.0,271.0,0.0,6.0
54,217.0,272.0,0.0,7.0
55,48.0,125.0,0.0,2.0
56,174.0,274.0,0.0,3.0
57,180.0,275.0,0.0,4.0
58,171.0,199.0,0.0,2.0
59,13.0,219.0,0.0,3.0
60,15.0,278.0,0.0,4.0
61,27.0,279.0,0.0,5.0
62,34.0,280.0,0.0,6.0
63,50.0,281.0,0.0,7.0
64,57.0,282.0,0.0,8.0
65,59.0,283.0,0.0,9.0
66,61.0,284.0,0.0,10.0
67,71.0,285.0,0.0,11.0
68,75.0,286.0,0.0,12.0
69,90.0,287.0,0.0,13.0
70,91.0,288.0,0.0,14.0
71,94.0,289.0,0.0,15.0
72,107.0,290.0,0.0,16.0
73,111.0,291.0,0.0,17.0
74,124.0,292.0,0.0,18.0
75,128.0,293.0,0.0,19.0
76,129.0,294.0,0.0,20.0
77,142.0,295.0,0.0,21.0
78,162.0,296.0,0.0,22.0
79,165.0,297.0,0.0,23.0
80,166.0,298.0,0.0,24.0
81,168.0,299.0,0.0,25.0
82,169.0,300.0,0.0,26.0
83,187.0,301.0,0.0,27.0
84,196.0,302.0,0.0,28.0
85,197.0,303.0,0.0,29.0
86,200.0,304.0,0.0,30.0
87,202.0,305.0,0.0,31.0
88,206.0,306.0,0.0,32.0
89,207.0,307.0,0.0,33.0
90,216.0,308.0,0.0,34.0
91,64.0,133.0,1.1102230246251565e-16,2.0
92,30.0,56.0,1.1102230246251565e-16,2.0
93,86.0,311.0,1.1102230246251565e-16,3.0
94,79.0,82.0,2.220446049250313e-16,2.0
95,97.0,313.0,2.220446049250313e-16,3.0
96,112.0,314.0,2.220446049250313e-16,4.0
97,145.0,315.0,2.220446049250313e-16,5.0
98,175.0,316.0,2.220446049250313e-16,6.0
99,176.0,317.0,2.220446049250313e-16,7.0
100,201.0,318.0,2.220446049250313e-16,8.0
101,205.0,319.0,2.220446049250313e-16,9.0
102,210.0,320.0,2.220446049250313e-16,10.0
103,147.0,157.0,2.220446049250313e-16,2.0
104,179.0,215.0,2.220446049250313e-16,2.0
105,35.0,74.0,2.220446049250313e-16,2.0
106,101.0,324.0,2.220446049250313e-16,3.0
107,22.0,45.0,0.018314167170794482,2.0
108,110.0,148.0,0.019624455626865656,2.0
109,53.0,85.0,0.020220132859892326,2.0
110,60.0,164.0,0.020742485741156225,2.0
111,188.0,273.0,0.029929577464788748,8.0
112,123.0,329.0,0.031735486046565176,3.0
113,108.0,267.0,0.03230769230769226,3.0
114,99.0,330.0,0.033193143462356134,9.0
115,120.0,146.0,0.03918628969743687,2.0
116,130.0,327.0,0.039654986642499,3.0
117,323.0,333.0,0.04310937335476939,11.0
118,328.0,331.0,0.04584343424915205,5.0
119,185.0,212.0,0.048739561505065976,2.0
120,9.0,134.0,0.04917493334303358,2.0
121,105.0,177.0,0.05067567567567566,2.0
122,115.0,203.0,0.05119315466441687,2.0
123,326.0,334.0,0.052834870286793345,4.0
124,173.0,340.0,0.057432432432432456,3.0
125,337.0,342.0,0.057862085935892815,9.0
126,3.0,40.0,0.05867385901475475,2.0
127,89.0,150.0,0.05949119186377749,2.0
128,114.0,136.0,0.06097925984473007,2.0
129,178.0,335.0,0.06401495212171449,4.0
130,161.0,322.0,0.06684795406009714,3.0
131,193.0,338.0,0.06919677523613976,3.0
132,122.0,343.0,0.06927401118757492,4.0
133,76.0,154.0,0.0791340427879823,2.0
134,118.0,336.0,0.07944699208813255,12.0
135,33.0,163.0,0.08024691358024694,2.0
136,167.0,332.0,0.08081578749821872,4.0
137,121.0,321.0,0.08125000000000016,11.0
138,43.0,65.0,0.08125000000000016,2.0
139,42.0,218.0,0.08125000000000016,2.0
140,209.0,356.0,0.08125000000000016,12.0
141,348.0,350.0,0.08159722222222221,7.0
142,12.0,266.0,0.08442259777862027,47.0
143,221.0,354.0,0.0866537409673761,4.0
144,347.0,349.0,0.0872967743491212,5.0
145,17.0,32.0,0.08771646030219171,2.0
146,63.0,158.0,0.08817218966341489,2.0
147,36.0,339.0,0.08945081310953851,3.0
148,55.0,276.0,0.09119305706667857,5.0
149,21.0,172.0,0.09179032535098852,2.0
150,113.0,358.0,0.09315020912508531,3.0
151,357.0,367.0,0.09375000000000011,7.0
152,93.0,277.0,0.0972222222222221,3.0
153,365.0,369.0,0.09729243252260689,5.0
154,359.0,372.0,0.09936150906258479,17.0
155,119.0,214.0,0.10159410499824018,2.0
156,360.0,363.0,0.10161283307454094,12.0
157,139.0,355.0,0.10227892569763908,5.0
158,14.0,31.0,0.1094653272274797,2.0
159,20.0,352.0,0.11030919238109749,3.0
160,345.0,361.0,0.11140850585758644,49.0
161,41.0,72.0,0.11214953271028039,2.0
162,69.0,375.0,0.11487648195398459,13.0
163,106.0,312.0,0.11782354706235376,4.0
164,70.0,127.0,0.11782354706235376,2.0
165,131.0,341.0,0.11883573060848429,3.0
166,4.0,8.0,0.11956521739130421,2.0
167,16.0,80.0,0.11956521739130421,2.0
168,346.0,373.0,0.1216344872287084,19.0
169,25.0,381.0,0.1272682112066288,14.0
170,47.0,384.0,0.128861898456352,4.0
171,95.0,132.0,0.1302571753487053,2.0
172,159.0,351.0,0.1360065404775327,5.0
173,189.0,353.0,0.13783001265000694,13.0
174,88.0,344.0,0.1380611006850243,10.0
175,385.0,386.0,0.1413043478260868,4.0
176,213.0,394.0,0.1413043478260868,5.0
177,390.0,395.0,0.1469429679609522,7.0
178,371.0,392.0,0.14718025335345908,16.0
179,19.0,151.0,0.14871337162985865,2.0
180,1.0,310.0,0.15000000000000013,3.0
181,26.0,389.0,0.1575854055360868,5.0
182,379.0,380.0,0.1592735992727199,51.0
183,96.0,370.0,0.1625000000000002,8.0
184,153.0,387.0,0.170819643200248,20.0
185,378.0,388.0,0.17440228258527657,17.0
186,397.0,404.0,0.18240778425305437,33.0
187,402.0,403.0,0.18347888528879386,28.0
188,6.0,406.0,0.191709623134524,29.0
189,368.0,400.0,0.19221732081393805,7.0
190,364.0,399.0,0.20203747829455576,5.0
191,391.0,407.0,0.20540489469077305,34.0
192,366.0,374.0,0.2141317331725856,5.0
193,309.0,383.0,0.22326436261938254,36.0
194,376.0,405.0,0.227169693216561,38.0
195,29.0,413.0,0.23487614727620643,39.0
196,396.0,401.0,0.23515663344341153,58.0
197,377.0,382.0,0.24085568878408103,6.0
198,23.0,24.0,0.26923076923076916,2.0
199,18.0,393.0,0.2705136533468746,11.0
200,92.0,117.0,0.2914483402422555,2.0
201,398.0,418.0,0.29207148272833705,13.0
202,411.0,415.0,0.3001444476767745,63.0
203,408.0,410.0,0.31439308716034065,41.0
204,409.0,416.0,0.3500000000000001,11.0
205,412.0,417.0,0.36209477434098647,38.0
206,362.0,421.0,0.37265870631255904,67.0
207,126.0,420.0,0.4358780812115022,14.0
208,419.0,423.0,0.4392556411547335,13.0
209,414.0,422.0,0.4445371361039445,80.0
210,424.0,425.0,0.49492587424894996,105.0
211,62.0,325.0,0.5285954792089684,4.0
212,427.0,429.0,0.5644836133876747,118.0
213,220.0,426.0,0.7341500784880238,16.0
214,430.0,431.0,0.7777777777777778,122.0
215,428.0,432.0,0.7984919124315122,96.0
216,433.0,434.0,0.9037749551350623,218.0
217,77.0,435.0,1.0,219.0
