,hc_1,hc_2,hc_3,hc_4
0,118.0,164.0,0.0,2.0
1,157.0,163.0,0.0,2.0
2,55.0,68.0,0.0,2.0
3,151.0,176.0,0.0,3.0
4,0.0,2.0,2.220446049250313e-16,2.0
5,1.0,7.0,2.220446049250313e-16,2.0
6,6.0,178.0,2.220446049250313e-16,3.0
7,3.0,9.0,2.220446049250313e-16,2.0
8,4.0,5.0,2.220446049250313e-16,2.0
9,23.0,182.0,2.220446049250313e-16,3.0
10,8.0,180.0,2.220446049250313e-16,4.0
11,16.0,179.0,2.220446049250313e-16,3.0
12,18.0,184.0,2.220446049250313e-16,5.0
13,80.0,181.0,2.220446049250313e-16,3.0
14,11.0,12.0,2.220446049250313e-16,2.0
15,81.0,188.0,2.220446049250313e-16,3.0
16,83.0,187.0,2.220446049250313e-16,4.0
17,15.0,131.0,2.220446049250313e-16,2.0
18,20.0,185.0,2.220446049250313e-16,4.0
19,19.0,186.0,2.220446049250313e-16,6.0
20,22.0,193.0,2.220446049250313e-16,7.0
21,27.0,192.0,2.220446049250313e-16,5.0
22,112.0,190.0,2.220446049250313e-16,5.0
23,120.0,196.0,2.220446049250313e-16,6.0
24,28.0,195.0,2.220446049250313e-16,6.0
25,33.0,198.0,2.220446049250313e-16,7.0
26,35.0,199.0,2.220446049250313e-16,8.0
27,40.0,200.0,2.220446049250313e-16,9.0
28,41.0,201.0,2.220446049250313e-16,10.0
29,42.0,202.0,2.220446049250313e-16,11.0
30,43.0,203.0,2.220446049250313e-16,12.0
31,44.0,204.0,2.220446049250313e-16,13.0
32,46.0,205.0,2.220446049250313e-16,14.0
33,47.0,206.0,2.220446049250313e-16,15.0
34,48.0,207.0,2.220446049250313e-16,16.0
35,50.0,208.0,2.220446049250313e-16,17.0
36,51.0,209.0,2.220446049250313e-16,18.0
37,52.0,210.0,2.220446049250313e-16,19.0
38,53.0,211.0,2.220446049250313e-16,20.0
39,54.0,212.0,2.220446049250313e-16,21.0
40,56.0,213.0,2.220446049250313e-16,22.0
41,58.0,214.0,2.220446049250313e-16,23.0
42,59.0,215.0,2.220446049250313e-16,24.0
43,60.0,216.0,2.220446049250313e-16,25.0
44,62.0,217.0,2.220446049250313e-16,26.0
45,67.0,218.0,2.220446049250313e-16,27.0
46,69.0,219.0,2.220446049250313e-16,28.0
47,70.0,220.0,2.220446049250313e-16,29.0
48,71.0,221.0,2.220446049250313e-16,30.0
49,72.0,222.0,2.220446049250313e-16,31.0
50,74.0,223.0,2.220446049250313e-16,32.0
51,75.0,224.0,2.220446049250313e-16,33.0
52,76.0,225.0,2.220446049250313e-16,34.0
53,78.0,226.0,2.220446049250313e-16,35.0
54,84.0,227.0,2.220446049250313e-16,36.0
55,86.0,228.0,2.220446049250313e-16,37.0
56,87.0,229.0,2.220446049250313e-16,38.0
57,88.0,230.0,2.220446049250313e-16,39.0
58,89.0,231.0,2.220446049250313e-16,40.0
59,90.0,232.0,2.220446049250313e-16,41.0
60,93.0,233.0,2.220446049250313e-16,42.0
61,94.0,234.0,2.220446049250313e-16,43.0
62,95.0,235.0,2.220446049250313e-16,44.0
63,102.0,236.0,2.220446049250313e-16,45.0
64,104.0,237.0,2.220446049250313e-16,46.0
65,105.0,238.0,2.220446049250313e-16,47.0
66,106.0,239.0,2.220446049250313e-16,48.0
67,109.0,240.0,2.220446049250313e-16,49.0
68,114.0,241.0,2.220446049250313e-16,50.0
69,116.0,242.0,2.220446049250313e-16,51.0
70,119.0,243.0,2.220446049250313e-16,52.0
71,121.0,244.0,2.220446049250313e-16,53.0
72,122.0,245.0,2.220446049250313e-16,54.0
73,123.0,246.0,2.220446049250313e-16,55.0
74,127.0,247.0,2.220446049250313e-16,56.0
75,128.0,248.0,2.220446049250313e-16,57.0
76,129.0,249.0,2.220446049250313e-16,58.0
77,134.0,250.0,2.220446049250313e-16,59.0
78,135.0,251.0,2.220446049250313e-16,60.0
79,137.0,252.0,2.220446049250313e-16,61.0
80,146.0,253.0,2.220446049250313e-16,62.0
81,147.0,254.0,2.220446049250313e-16,63.0
82,153.0,255.0,2.220446049250313e-16,64.0
83,154.0,256.0,2.220446049250313e-16,65.0
84,159.0,257.0,2.220446049250313e-16,66.0
85,160.0,258.0,2.220446049250313e-16,67.0
86,161.0,259.0,2.220446049250313e-16,68.0
87,165.0,260.0,2.220446049250313e-16,69.0
88,166.0,261.0,2.220446049250313e-16,70.0
89,167.0,262.0,2.220446049250313e-16,71.0
90,168.0,263.0,2.220446049250313e-16,72.0
91,171.0,264.0,2.220446049250313e-16,73.0
92,24.0,194.0,2.220446049250313e-16,8.0
93,39.0,183.0,2.220446049250313e-16,4.0
94,26.0,266.0,2.220446049250313e-16,9.0
95,29.0,268.0,2.220446049250313e-16,10.0
96,30.0,269.0,2.220446049250313e-16,11.0
97,31.0,270.0,2.220446049250313e-16,12.0
98,32.0,271.0,2.220446049250313e-16,13.0
99,61.0,272.0,2.220446049250313e-16,14.0
100,38.0,57.0,2.220446049250313e-16,2.0
101,49.0,267.0,2.220446049250313e-16,5.0
102,65.0,275.0,2.220446049250313e-16,6.0
103,113.0,274.0,2.220446049250313e-16,3.0
104,63.0,273.0,2.220446049250313e-16,15.0
105,66.0,278.0,2.220446049250313e-16,16.0
106,73.0,276.0,2.220446049250313e-16,7.0
107,79.0,279.0,2.220446049250313e-16,17.0
108,96.0,280.0,2.220446049250313e-16,8.0
109,82.0,281.0,2.220446049250313e-16,18.0
110,91.0,283.0,2.220446049250313e-16,19.0
111,98.0,284.0,2.220446049250313e-16,20.0
112,97.0,282.0,2.220446049250313e-16,9.0
113,101.0,286.0,2.220446049250313e-16,10.0
114,99.0,285.0,2.220446049250313e-16,21.0
115,100.0,288.0,2.220446049250313e-16,22.0
116,110.0,289.0,2.220446049250313e-16,23.0
117,107.0,287.0,2.220446049250313e-16,11.0
118,108.0,291.0,2.220446049250313e-16,12.0
119,111.0,292.0,2.220446049250313e-16,13.0
120,115.0,290.0,2.220446049250313e-16,24.0
121,117.0,293.0,2.220446049250313e-16,14.0
122,124.0,294.0,2.220446049250313e-16,25.0
123,130.0,295.0,2.220446049250313e-16,15.0
124,125.0,296.0,2.220446049250313e-16,26.0
125,126.0,298.0,2.220446049250313e-16,27.0
126,133.0,299.0,2.220446049250313e-16,28.0
127,132.0,297.0,2.220446049250313e-16,16.0
128,152.0,301.0,2.220446049250313e-16,17.0
129,136.0,300.0,2.220446049250313e-16,29.0
130,138.0,303.0,2.220446049250313e-16,30.0
131,139.0,304.0,2.220446049250313e-16,31.0
132,140.0,305.0,2.220446049250313e-16,32.0
133,142.0,306.0,2.220446049250313e-16,33.0
134,143.0,307.0,2.220446049250313e-16,34.0
135,144.0,308.0,2.220446049250313e-16,35.0
136,148.0,309.0,2.220446049250313e-16,36.0
137,149.0,310.0,2.220446049250313e-16,37.0
138,158.0,311.0,2.220446049250313e-16,38.0
139,155.0,302.0,2.220446049250313e-16,18.0
140,156.0,313.0,2.220446049250313e-16,19.0
141,170.0,314.0,2.220446049250313e-16,20.0
142,162.0,312.0,2.220446049250313e-16,39.0
143,169.0,316.0,2.220446049250313e-16,40.0
144,172.0,315.0,2.220446049250313e-16,21.0
145,103.0,141.0,2.220446049250313e-16,2.0
146,145.0,319.0,2.220446049250313e-16,3.0
147,17.0,150.0,0.2064246067562927,2.0
148,14.0,174.0,0.23684210526315774,3.0
149,37.0,175.0,0.23684210526315774,3.0
150,85.0,265.0,0.23728723019030995,74.0
151,320.0,323.0,0.23824993738448774,6.0
152,173.0,324.0,0.26923076923076916,75.0
153,45.0,317.0,0.3675444679663241,41.0
154,64.0,77.0,0.41121423289186554,2.0
155,322.0,325.0,0.4921666249229918,9.0
156,177.0,321.0,0.50784543361245,5.0
157,327.0,330.0,0.6077677297236319,46.0
158,10.0,13.0,0.625,2.0
159,189.0,332.0,0.625,5.0
160,197.0,333.0,0.625,11.0
161,25.0,34.0,0.625,2.0
162,36.0,92.0,0.625,2.0
163,277.0,336.0,0.625,5.0
164,191.0,337.0,0.625,7.0
165,318.0,338.0,0.625,28.0
166,326.0,339.0,0.625,103.0
167,328.0,329.0,0.8023576462394764,11.0
168,331.0,340.0,0.852912898646362,149.0
169,21.0,334.0,0.875,12.0
170,335.0,342.0,0.950970966215454,151.0
171,341.0,344.0,0.9791666666666666,162.0
172,343.0,345.0,1.0,174.0
