,hc_1,hc_2,hc_3,hc_4
0,105.0,142.0,0.0,2.0
1,0.0,28.0,2.220446049250313e-16,2.0
2,1.0,3.0,2.220446049250313e-16,2.0
3,4.0,196.0,2.220446049250313e-16,3.0
4,5.0,197.0,2.220446049250313e-16,4.0
5,6.0,198.0,2.220446049250313e-16,5.0
6,7.0,199.0,2.220446049250313e-16,6.0
7,8.0,200.0,2.220446049250313e-16,7.0
8,9.0,201.0,2.220446049250313e-16,8.0
9,10.0,202.0,2.220446049250313e-16,9.0
10,11.0,203.0,2.220446049250313e-16,10.0
11,12.0,204.0,2.220446049250313e-16,11.0
12,13.0,205.0,2.220446049250313e-16,12.0
13,14.0,206.0,2.220446049250313e-16,13.0
14,15.0,207.0,2.220446049250313e-16,14.0
15,17.0,208.0,2.220446049250313e-16,15.0
16,40.0,41.0,2.220446049250313e-16,2.0
17,61.0,210.0,2.220446049250313e-16,3.0
18,68.0,211.0,2.220446049250313e-16,4.0
19,95.0,212.0,2.220446049250313e-16,5.0
20,97.0,213.0,2.220446049250313e-16,6.0
21,110.0,214.0,2.220446049250313e-16,7.0
22,126.0,215.0,2.220446049250313e-16,8.0
23,150.0,216.0,2.220446049250313e-16,9.0
24,161.0,217.0,2.220446049250313e-16,10.0
25,179.0,218.0,2.220446049250313e-16,11.0
26,181.0,219.0,2.220446049250313e-16,12.0
27,187.0,220.0,2.220446049250313e-16,13.0
28,191.0,221.0,2.220446049250313e-16,14.0
29,19.0,209.0,2.220446049250313e-16,16.0
30,21.0,223.0,2.220446049250313e-16,17.0
31,20.0,24.0,2.220446049250313e-16,2.0
32,23.0,224.0,2.220446049250313e-16,18.0
33,25.0,226.0,2.220446049250313e-16,19.0
34,26.0,227.0,2.220446049250313e-16,20.0
35,27.0,228.0,2.220446049250313e-16,21.0
36,30.0,229.0,2.220446049250313e-16,22.0
37,31.0,230.0,2.220446049250313e-16,23.0
38,32.0,231.0,2.220446049250313e-16,24.0
39,33.0,232.0,2.220446049250313e-16,25.0
40,34.0,233.0,2.220446049250313e-16,26.0
41,35.0,234.0,2.220446049250313e-16,27.0
42,36.0,235.0,2.220446049250313e-16,28.0
43,37.0,236.0,2.220446049250313e-16,29.0
44,38.0,237.0,2.220446049250313e-16,30.0
45,39.0,238.0,2.220446049250313e-16,31.0
46,42.0,239.0,2.220446049250313e-16,32.0
47,43.0,240.0,2.220446049250313e-16,33.0
48,44.0,241.0,2.220446049250313e-16,34.0
49,45.0,242.0,2.220446049250313e-16,35.0
50,46.0,243.0,2.220446049250313e-16,36.0
51,47.0,244.0,2.220446049250313e-16,37.0
52,48.0,245.0,2.220446049250313e-16,38.0
53,49.0,246.0,2.220446049250313e-16,39.0
54,50.0,247.0,2.220446049250313e-16,40.0
55,51.0,248.0,2.220446049250313e-16,41.0
56,53.0,249.0,2.220446049250313e-16,42.0
57,55.0,250.0,2.220446049250313e-16,43.0
58,57.0,251.0,2.220446049250313e-16,44.0
59,58.0,252.0,2.220446049250313e-16,45.0
60,59.0,253.0,2.220446049250313e-16,46.0
61,62.0,254.0,2.220446049250313e-16,47.0
62,60.0,71.0,2.220446049250313e-16,2.0
63,63.0,255.0,2.220446049250313e-16,48.0
64,65.0,257.0,2.220446049250313e-16,49.0
65,66.0,258.0,2.220446049250313e-16,50.0
66,67.0,259.0,2.220446049250313e-16,51.0
67,70.0,260.0,2.220446049250313e-16,52.0
68,72.0,261.0,2.220446049250313e-16,53.0
69,85.0,256.0,2.220446049250313e-16,3.0
70,73.0,262.0,2.220446049250313e-16,54.0
71,74.0,264.0,2.220446049250313e-16,55.0
72,75.0,265.0,2.220446049250313e-16,56.0
73,76.0,266.0,2.220446049250313e-16,57.0
74,78.0,267.0,2.220446049250313e-16,58.0
75,79.0,268.0,2.220446049250313e-16,59.0
76,80.0,269.0,2.220446049250313e-16,60.0
77,81.0,270.0,2.220446049250313e-16,61.0
78,82.0,271.0,2.220446049250313e-16,62.0
79,84.0,272.0,2.220446049250313e-16,63.0
80,52.0,195.0,2.220446049250313e-16,3.0
81,56.0,274.0,2.220446049250313e-16,4.0
82,88.0,273.0,2.220446049250313e-16,64.0
83,89.0,276.0,2.220446049250313e-16,65.0
84,90.0,277.0,2.220446049250313e-16,66.0
85,91.0,278.0,2.220446049250313e-16,67.0
86,92.0,279.0,2.220446049250313e-16,68.0
87,93.0,280.0,2.220446049250313e-16,69.0
88,94.0,281.0,2.220446049250313e-16,70.0
89,96.0,282.0,2.220446049250313e-16,71.0
90,98.0,283.0,2.220446049250313e-16,72.0
91,101.0,284.0,2.220446049250313e-16,73.0
92,103.0,285.0,2.220446049250313e-16,74.0
93,104.0,286.0,2.220446049250313e-16,75.0
94,106.0,287.0,2.220446049250313e-16,76.0
95,107.0,288.0,2.220446049250313e-16,77.0
96,108.0,289.0,2.220446049250313e-16,78.0
97,111.0,290.0,2.220446049250313e-16,79.0
98,112.0,291.0,2.220446049250313e-16,80.0
99,113.0,292.0,2.220446049250313e-16,81.0
100,114.0,293.0,2.220446049250313e-16,82.0
101,115.0,294.0,2.220446049250313e-16,83.0
102,116.0,295.0,2.220446049250313e-16,84.0
103,117.0,296.0,2.220446049250313e-16,85.0
104,118.0,297.0,2.220446049250313e-16,86.0
105,119.0,298.0,2.220446049250313e-16,87.0
106,120.0,299.0,2.220446049250313e-16,88.0
107,121.0,300.0,2.220446049250313e-16,89.0
108,122.0,301.0,2.220446049250313e-16,90.0
109,123.0,302.0,2.220446049250313e-16,91.0
110,124.0,303.0,2.220446049250313e-16,92.0
111,125.0,304.0,2.220446049250313e-16,93.0
112,127.0,305.0,2.220446049250313e-16,94.0
113,128.0,306.0,2.220446049250313e-16,95.0
114,130.0,307.0,2.220446049250313e-16,96.0
115,131.0,308.0,2.220446049250313e-16,97.0
116,133.0,309.0,2.220446049250313e-16,98.0
117,134.0,310.0,2.220446049250313e-16,99.0
118,136.0,311.0,2.220446049250313e-16,100.0
119,137.0,312.0,2.220446049250313e-16,101.0
120,138.0,313.0,2.220446049250313e-16,102.0
121,140.0,314.0,2.220446049250313e-16,103.0
122,141.0,315.0,2.220446049250313e-16,104.0
123,143.0,316.0,2.220446049250313e-16,105.0
124,144.0,317.0,2.220446049250313e-16,106.0
125,145.0,318.0,2.220446049250313e-16,107.0
126,146.0,319.0,2.220446049250313e-16,108.0
127,147.0,320.0,2.220446049250313e-16,109.0
128,148.0,321.0,2.220446049250313e-16,110.0
129,149.0,322.0,2.220446049250313e-16,111.0
130,151.0,323.0,2.220446049250313e-16,112.0
131,152.0,324.0,2.220446049250313e-16,113.0
132,153.0,325.0,2.220446049250313e-16,114.0
133,154.0,326.0,2.220446049250313e-16,115.0
134,155.0,327.0,2.220446049250313e-16,116.0
135,156.0,328.0,2.220446049250313e-16,117.0
136,157.0,329.0,2.220446049250313e-16,118.0
137,158.0,330.0,2.220446049250313e-16,119.0
138,159.0,331.0,2.220446049250313e-16,120.0
139,160.0,332.0,2.220446049250313e-16,121.0
140,162.0,333.0,2.220446049250313e-16,122.0
141,164.0,334.0,2.220446049250313e-16,123.0
142,165.0,335.0,2.220446049250313e-16,124.0
143,166.0,336.0,2.220446049250313e-16,125.0
144,169.0,337.0,2.220446049250313e-16,126.0
145,170.0,338.0,2.220446049250313e-16,127.0
146,171.0,339.0,2.220446049250313e-16,128.0
147,172.0,340.0,2.220446049250313e-16,129.0
148,173.0,341.0,2.220446049250313e-16,130.0
149,175.0,342.0,2.220446049250313e-16,131.0
150,176.0,343.0,2.220446049250313e-16,132.0
151,177.0,344.0,2.220446049250313e-16,133.0
152,178.0,345.0,2.220446049250313e-16,134.0
153,180.0,346.0,2.220446049250313e-16,135.0
154,182.0,347.0,2.220446049250313e-16,136.0
155,183.0,348.0,2.220446049250313e-16,137.0
156,184.0,349.0,2.220446049250313e-16,138.0
157,186.0,350.0,2.220446049250313e-16,139.0
158,188.0,351.0,2.220446049250313e-16,140.0
159,189.0,352.0,2.220446049250313e-16,141.0
160,190.0,353.0,2.220446049250313e-16,142.0
161,193.0,354.0,2.220446049250313e-16,143.0
162,109.0,275.0,2.220446049250313e-16,5.0
163,163.0,356.0,2.220446049250313e-16,6.0
164,86.0,263.0,2.220446049250313e-16,4.0
165,100.0,358.0,2.220446049250313e-16,5.0
166,129.0,359.0,2.220446049250313e-16,6.0
167,135.0,360.0,2.220446049250313e-16,7.0
168,185.0,361.0,2.220446049250313e-16,8.0
169,99.0,168.0,2.220446049250313e-16,2.0
170,18.0,132.0,0.2142857142857143,2.0
171,139.0,194.0,0.23684210526315774,3.0
172,357.0,365.0,0.23824993738448774,9.0
173,22.0,192.0,0.2983730734284076,2.0
174,102.0,364.0,0.3011637580782921,3.0
175,64.0,355.0,0.3215994747000319,144.0
176,77.0,362.0,0.3215994747000319,9.0
177,167.0,174.0,0.38095238095238093,2.0
178,29.0,222.0,0.39990080185102106,15.0
179,54.0,369.0,0.42792244645264466,145.0
180,2.0,87.0,0.4838145987912361,2.0
181,16.0,368.0,0.49039659456627305,4.0
182,69.0,366.0,0.4921666249229918,10.0
183,371.0,372.0,0.5,17.0
184,83.0,225.0,0.625,3.0
185,363.0,378.0,0.625,5.0
186,370.0,379.0,0.6984886554222365,14.0
187,367.0,375.0,0.699481873619496,6.0
188,373.0,380.0,0.7628291754873715,159.0
189,377.0,382.0,0.7929803321972937,176.0
190,376.0,383.0,0.8279381995970787,186.0
191,374.0,384.0,0.9209430584957905,188.0
192,381.0,385.0,0.9663663603001844,194.0
