,hc_1,hc_2,hc_3,hc_4
0,3.0,4.0,2.220446049250313e-16,2.0
1,5.0,66.0,2.220446049250313e-16,3.0
2,6.0,67.0,2.220446049250313e-16,4.0
3,7.0,68.0,2.220446049250313e-16,5.0
4,9.0,69.0,2.220446049250313e-16,6.0
5,10.0,70.0,2.220446049250313e-16,7.0
6,11.0,71.0,2.220446049250313e-16,8.0
7,12.0,72.0,2.220446049250313e-16,9.0
8,13.0,73.0,2.220446049250313e-16,10.0
9,14.0,74.0,2.220446049250313e-16,11.0
10,15.0,75.0,2.220446049250313e-16,12.0
11,17.0,76.0,2.220446049250313e-16,13.0
12,18.0,77.0,2.220446049250313e-16,14.0
13,19.0,78.0,2.220446049250313e-16,15.0
14,20.0,79.0,2.220446049250313e-16,16.0
15,21.0,80.0,2.220446049250313e-16,17.0
16,23.0,81.0,2.220446049250313e-16,18.0
17,22.0,24.0,2.220446049250313e-16,2.0
18,25.0,82.0,2.220446049250313e-16,19.0
19,31.0,83.0,2.220446049250313e-16,3.0
20,26.0,84.0,2.220446049250313e-16,20.0
21,27.0,86.0,2.220446049250313e-16,21.0
22,28.0,87.0,2.220446049250313e-16,22.0
23,29.0,88.0,2.220446049250313e-16,23.0
24,30.0,89.0,2.220446049250313e-16,24.0
25,32.0,90.0,2.220446049250313e-16,25.0
26,35.0,85.0,2.220446049250313e-16,4.0
27,33.0,91.0,2.220446049250313e-16,26.0
28,34.0,93.0,2.220446049250313e-16,27.0
29,37.0,94.0,2.220446049250313e-16,28.0
30,44.0,92.0,2.220446049250313e-16,5.0
31,38.0,95.0,2.220446049250313e-16,29.0
32,39.0,97.0,2.220446049250313e-16,30.0
33,40.0,98.0,2.220446049250313e-16,31.0
34,41.0,99.0,2.220446049250313e-16,32.0
35,42.0,100.0,2.220446049250313e-16,33.0
36,43.0,101.0,2.220446049250313e-16,34.0
37,45.0,102.0,2.220446049250313e-16,35.0
38,49.0,96.0,2.220446049250313e-16,6.0
39,46.0,103.0,2.220446049250313e-16,36.0
40,48.0,105.0,2.220446049250313e-16,37.0
41,47.0,56.0,2.220446049250313e-16,2.0
42,50.0,106.0,2.220446049250313e-16,38.0
43,51.0,108.0,2.220446049250313e-16,39.0
44,52.0,109.0,2.220446049250313e-16,40.0
45,53.0,110.0,2.220446049250313e-16,41.0
46,54.0,111.0,2.220446049250313e-16,42.0
47,55.0,112.0,2.220446049250313e-16,43.0
48,57.0,113.0,2.220446049250313e-16,44.0
49,58.0,107.0,2.220446049250313e-16,3.0
50,59.0,114.0,2.220446049250313e-16,45.0
51,64.0,115.0,2.220446049250313e-16,4.0
52,60.0,116.0,2.220446049250313e-16,46.0
53,61.0,118.0,2.220446049250313e-16,47.0
54,62.0,119.0,2.220446049250313e-16,48.0
55,63.0,120.0,2.220446049250313e-16,49.0
56,65.0,121.0,2.220446049250313e-16,50.0
57,0.0,8.0,0.625,2.0
58,16.0,123.0,0.625,3.0
59,104.0,124.0,0.625,9.0
60,117.0,125.0,0.625,13.0
61,122.0,126.0,0.625,63.0
62,1.0,2.0,0.6520190836174184,2.0
63,36.0,127.0,0.875,64.0
64,128.0,129.0,0.9922589859722171,66.0
