nct_id	gender	max_age	max_age_in_years	max_age_number	max_age_unit	min_age	min_age_in_years	min_age_number	min_age_unit
NCT00392327	BOTH	21 Years	21	21	Years	3 Years	3	3	Years
NCT00632853	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00719303	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT00492778	FEMALE	999 Years	999	999	Years	0 Years	0	0	Years
NCT00001337	BOTH	999 Years	999	999	Years	12 Years	12	12	Years
NCT00576654	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01012817	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00956007	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00887146	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00983697	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00980954	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT00981656	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00980460	BOTH	21 Years	21	21	Years	0 Years	0	0	Years
NCT01013649	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02085408	BOTH	999 Years	999	999	Years	60 Years	60	60	Years
NCT01042522	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01096368	BOTH	20 Years	20	20	Years	13 Months	1.0833333333333333	13	Months
NCT01118026	BOTH	60 Years	60	60	Years	18 Years	18	18	Years
NCT01101451	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01141231	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01366144	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01051635	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01222754	BOTH	21 Years	21	21	Years	0 Years	0	0	Years
NCT01386385	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01381718	BOTH	18 Years	18	18	Years	6 Years	6	6	Years
NCT01190930	BOTH	30 Years	30	30	Years	1 Years	1	1	Years
NCT01231906	BOTH	50 Years	50	50	Years	0 Years	0	0	Years
NCT01272037	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01275664	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01359592	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01368588	MALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01434316	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01497444	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01503632	BOTH	21 Years	21	21	Years	1 Years	1	1	Years
NCT01503086	BOTH	16 Years	16	16	Years	6 Years	6	6	Years
NCT01515787	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01333046	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01556243	FEMALE	999 Years	999	999	Years	40 Years	40	40	Years
NCT01573442	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01587352	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01585805	BOTH	999 Years	999	999	Years	19 Years	19	19	Years
NCT01638533	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01775475	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01695941	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01595061	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01602666	BOTH	21 Years	21	21	Years	3 Years	3	3	Years
NCT01622868	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01649089	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01674140	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01668719	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01711541	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01711554	BOTH	21 Years	21	21	Years	0 Years	0	0	Years
NCT01781468	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01805076	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT01730937	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01349881	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
