nci_id,nct_id,official_title,inclusion_indicaInclusionor,description,Text,Boolean,"{'negated_codes': [], 'possible_codes': [], 'text': u'description', 'affirmed_codes': []}"
NCI-2009-00336,NCT00392327,Efficacy of Carboplatin Administered Concomitantly with Radiation and Isotretinoin as a Pro-apoptotic Agent in Other than Average Risk Medulloblastoma/PNET Patients,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2009-00470,NCT00632853,Phase III Comparison of Thoracic Radiotherapy Regimens in Patients with Limited Small Cell Lung Cancer Also Receiving Cisplatin or Carboplatin and Etoposide,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2009-00595,NCT00719303,"Can Diet and Physical Activity Modulate Ovarian, Fallopian Tube and Primary Peritoneal Cancer Progression-Free Survival?",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2009-00603,NCT00492778,A Randomized Trial of Pelvic Irradiation with or without Concurrent Weekly Cisplatin in Patients with Pelvic-Only Recurrence of Carcinoma of the Uterine Corpus,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2009-00817,NCT00001337,Dose-Adjusted EPOCH Chemotherapy and Rituximab (Cd20+) in Adults and Children with Previously Untreated Aggressive Non-Hodgkin's Lymphoma,Inclusion,Human immunodeficiency virus (HIV) negative,HIV excluded OR HIV UNKNOWN,C15175 = NO OR C15175=C17998,"{'negated_codes': [], 'possible_codes': [], 'text': u'Human immunodeficiency virus (HIV) negative', 'affirmed_codes': [u'256380007', u'116197008', u'256397001', u'256374004', u'260385009', u'226164007', u'386708005', u'256402002', u'60875001', u'256370008', u'401041004', u'165815009', u'256389008', u'256393002', u'19030005', u'76969000', u'256383009', u'230598008', u'256377006', u'315124004', u'269958004', u'407515008', u'65119002', u'181681008', u'256405000', u'256386001', u'393476003', u'256403007', u'186803007', u'256367009', u'89293008']}"
NCI-2009-01057,NCT00576654,"A Phase I Dose-Escalation Study of Oral ABT-888 (NSC #737664) plus Intravenous Irinotecan (CPT-11, NSC#616348) Administered in Patients with Advanced Solid Tumors",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2011-00312,NCT01012817,"A Phase 1/2 Trial of ABT-888, an Inhibitor of Poly(ADP-ribose) Polymerase (PARP), and Topotecan (TPT) in Patients with Solid Tumors (Phase 1) and Relapsed Ovarian Cancer or Primary Peritoneal Cancer (Phase 2) after Prior Platinum Containing First-Line Chemotherapy",Exclusion,Immunocompromised patients (other than that related to the use of corticosteroids) including patients known to be human immunodeficiency virus (HIV) positive,HIV negative included:  Immunocompromised excluded (unless due to corticosteroid usage),C14139 = NO OR (C14139=NO AND C211=YES) AND (C15175 = NO OR C15175=C17998) ,"{'negated_codes': [], 'possible_codes': [], 'text': u'Immunocompromised patients (other than that related to the use of corticosteroids) including patients known to be human immunodeficiency virus (HIV) positive', 'affirmed_codes': [u'4740000', u'1096003', u'226164007', u'386708005', u'141882003', u'186538004', u'17735001', u'262094002', u'313274005', u'66069002', u'77985003', u'19965007', u'36682004', u'243144002', u'84847000', u'61667000', u'282119004', u'169641007', u'181681008', u'424966008', u'74036000', u'262009000', u'91576008', u'421124007', u'15302007', u'245631005', u'74964007', u'112113009', u'370388006', u'13687007', u'55735004', u'81665004', u'186745001', u'41778007', u'55919000', u'116154003', u'103324002', u'84101006', u'21166007', u'264395009', u'350353007', u'45341000', u'419385000', u'234532001', u'62944002', u'260408008', u'407456008', u'250515004', u'1838001', u'81301003', u'87385003', u'46233009', u'12026006', u'83084006', u'417496004', u'28944009', u'261583007', u'64431000', u'371883000', u'10828004', u'421887001', u'6415009', u'243584004', u'40168006', u'243578002', u'226283009', u'437871001', u'248226002', u'394850002', u'268458002', u'260809006', u'19030005', u'73194009', u'393485003', u'19631008', u'315124004', u'77121009', u'260676000', u'49872002', u'407515008', u'278412004', u'116566001', u'79440004', u'167582007', u'407444007', u'41146007', u'253620009', u'302919001', u'316244005', u'91251008', u'413624004', u'243633006', u'417770000', u'240530001', u'421603003', u'73731009', u'387727008', u'360160009', u'271300009', u'36692007', u'396451008', u'112366000', u'409822003', u'424409008', u'421170000', u'165816005', u'120665004', u'186803007']}"
NCI-2011-00878,NCT00956007,A Phase III Study of Postoperative Radiation Therapy (IMRT) +/- Cetuximab for Locally-Advanced Resected Head and Neck Cancer,Exclusion,"Severe, active co-morbidity, defined as follows:


* Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note: human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients

",AIDS excluded; immunocompromised excluded,(C2851=NO) AND (C14139 = NO),"{'negated_codes': [u'253620009', u'91251008', u'394404009', u'437871001', u'41778007', u'260809006', u'36682004', u'84847000', u'76053005', u'116154003', u'225761000', u'103324002', u'77765009', u'360160009', u'271300009', u'45341000', u'394837003', u'282119004', u'226253000', u'396451008', u'424966008', u'74036000', u'87385003', u'12026006', u'371883000'], 'possible_codes': [], 'text': u'Severe, active co-morbidity, defined as follows:\n\n\n* Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note: human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients\n\n', 'affirmed_codes': [u'277701000', u'24594008', u'418836005', u'219006', u'161045001', u'258259005', u'243215005', u'93235007', u'226164007', u'301183007', u'386708005', u'421939007', u'171121004', u'900000000000073002', u'60234000', u'78494001', u'124221007', u'226882008', u'100832001', u'367409002', u'19030005', u'21594007', u'363708005', u'300841009', u'255260001', u'900000000000550004', u'63813000', u'315124004', u'197284004', u'171165007', u'47757001', u'407515008', u'181681008', u'243218007', u'124220008', u'105542008', u'25967007', u'260409000', u'228319007', u'162171002', u'89293008', u'124214007', u'168836005', u'36070007', u'312453004', u'228452000', u'27814009', u'62479008', u'146684000', u'256871003', u'314791004', u'116680003', u'313299006', u'54470008', u'88014003', u'118586006', u'237755009', u'243217002', u'410585006', u'237751000', u'230598008', u'129729005', u'15240007', u'10024003', u'243216006', u'39463000', u'24484000', u'55561003', u'159083000', u'186705005', u'115470003', u'401338001', u'228453005', u'228447005', u'396550006', u'184888004', u'149016008', u'58533008', u'139451009', u'263680009', u'394411008', u'186803007', u'62676009', u'410584005', u'160573003', u'67487000']}"
NCI-2011-01915,NCT00887146,N0577 (CODEL): Phase III Intergroup Study of Radiotherapy with Concomitant and Adjuvant Temozolomide versus Radiotherapy with Adjuvant PCV Chemotherapy in Patients with 1p/19q Co-deleted Anaplastic Glioma or Low Grade Glioma,Exclusion,"Patients known to be human immunodeficiency virus (HIV) positive and currently receiving retroviral therapy are not eligible; note: patients known to be HIV positive, but without clinical evidence of an immunocompromised state, are eligible for the study",HIV positive and receiving antiretroviral therapy excluded;  HIV positive and no immunopromised eligible.  ,(C15175=NO) OR (C15175=C17998) OR (C15175 = YES AND C94631 = NO) OR (C15175 = YES AND C14139 = NO),"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients known to be human immunodeficiency virus (HIV) positive and currently receiving retroviral therapy are not eligible; note: patients known to be HIV positive, but without clinical evidence of an immunocompromised state, are eligible for the study', 'affirmed_codes': [u'4740000', u'1096003', u'258259005', u'170270002', u'128848007', u'224040005', u'226164007', u'386708005', u'186538004', u'17735001', u'271421005', u'313274005', u'70536003', u'66069002', u'77985003', u'19965007', u'280952003', u'78494001', u'224699009', u'36682004', u'243144002', u'84847000', u'3428006', u'84478008', u'61667000', u'170184004', u'282119004', u'168524008', u'58147004', u'169641007', u'181681008', u'419815003', u'170175004', u'424966008', u'74036000', u'169438007', u'69960004', u'25162000', u'398074008', u'91576008', u'108290001', u'170105000', u'109983007', u'170112009', u'421124007', u'243126005', u'15302007', u'170157000', u'168836005', u'277132007', u'273360000', u'27814009', u'170130002', u'67101007', u'224061003', u'168525009', u'76498008', u'13687007', u'170308006', u'416118004', u'116680003', u'55735004', u'81665004', u'88014003', u'186745001', u'263903005', u'118586006', u'399315003', u'165127005', u'170121005', u'41778007', u'116154003', u'103324002', u'84101006', u'21166007', u'264395009', u'240166008', u'350353007', u'276239002', u'45341000', u'234532001', u'62944002', u'260408008', u'407456008', u'250515004', u'1838001', u'81301003', u'87385003', u'46233009', u'12026006', u'83084006', u'417496004', u'266717002', u'149016008', u'58533008', u'255688002', u'28944009', u'361226000', u'64431000', u'371883000', u'420653000', u'10828004', u'421887001', u'170166001', u'160573003', u'170279001', u'6415009', u'243584004', u'165119001', u'40168006', u'243578002', u'170297009', u'301183007', u'226283009', u'360270004', u'80546007', u'169439004', u'168523002', u'437871001', u'248226002', u'129445006', u'60234000', u'260809006', u'226882008', u'224041009', u'100832001', u'19030005', u'12484000', u'73194009', u'19631008', u'315124004', u'77121009', u'49872002', u'407515008', u'170288005', u'18669006', u'5091004', u'18027006', u'309295000', u'278412004', u'169291001', u'398070004', u'167582007', u'407444007', u'5304008', u'226048001', u'41146007', u'253620009', u'36070007', u'302919001', u'420278009', u'91251008', u'413454004', u'257264006', u'225738002', u'256871003', u'413624004', u'169437002', u'275923005', u'170148006', u'243931006', u'243633006', u'417770000', u'240530001', u'421603003', u'73731009', u'47545007', u'387727008', u'360160009', u'271300009', u'391023009', u'224043007', u'36692007', u'420626004', u'170261000', u'159083000', u'396451008', u'112366000', u'170139001', u'409822003', u'424409008', u'421170000', u'165816005', u'263680009', u'120665004', u'55921005', u'408485004', u'182657004', u'186803007', u'41647002', u'67487000']}"
NCI-2011-01972,NCT00983697,A Multicenter Trial of FDG-PET/CT Staging of Head and Neck Cancer and Its Impact on the N0 Neck Surgical Treatment in Head and Neck Cancer Patients,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
